number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
69,0.43818636829307733,2026-06-12 14:19:46.996892,2026-06-12 14:19:49.029303,0 days 00:00:02.032411,0.6838517795692103,0.09909416481415428,9,40,199,2.2453210874967766,0.1103550707047957,0.9134586386914467,0.04178643885300624,COMPLETE
70,0.43712686178806176,2026-06-12 14:19:49.029350,2026-06-12 14:19:51.350696,0 days 00:00:02.321346,0.6050659716062019,0.04283815192363068,10,29,228,3.8884100999159985,0.02009018088778554,0.910078533832896,0.042104328423142046,COMPLETE
71,0.43703255753285414,2026-06-12 14:19:51.350743,2026-06-12 14:19:54.854416,0 days 00:00:03.503673,0.7339770822478004,0.03561946611547472,11,25,156,0.8890852874889242,0.011664548390034765,0.9687795523757092,0.04147933453005203,COMPLETE
72,0.4356473136343285,2026-06-12 14:19:54.854468,2026-06-12 14:19:57.315992,0 days 00:00:02.461524,0.7546628943794416,0.031793536510637196,10,32,188,5.128203717205924,0.1853496781893657,0.9444316495483376,0.04342353087889513,COMPLETE
73,0.43641421998878804,2026-06-12 14:19:57.316042,2026-06-12 14:19:59.547034,0 days 00:00:02.230992,0.7087937584476461,0.03206392001752045,10,33,182,5.125649146465741,0.17522715978992648,0.9475392712701426,0.04338207234181321,COMPLETE
74,0.4356434719672226,2026-06-12 14:19:59.547084,2026-06-12 14:20:02.018692,0 days 00:00:02.471608,0.7460456453700287,0.03889039466273509,10,36,226,6.548257388701335,0.10952894231721103,0.9297961737903213,0.04355990172294256,COMPLETE
75,0.4358671722413018,2026-06-12 14:20:02.018743,2026-06-12 14:20:04.044040,0 days 00:00:02.025297,0.6711587873605365,0.05242059235759002,8,44,224,6.992169548406859,0.21380774378721001,0.9282408398531651,0.0433415466912534,COMPLETE
76,0.43527352811042574,2026-06-12 14:20:04.044089,2026-06-12 14:20:05.828158,0 days 00:00:01.784069,0.6707515898198959,0.053237744025493784,8,44,227,7.014306279027063,0.3414643531538844,0.9250524291868694,0.04320518926938681,COMPLETE
77,0.4364885827474424,2026-06-12 14:20:05.828208,2026-06-12 14:20:07.408107,0 days 00:00:01.579899,0.5640871330014492,0.06856353505129974,8,47,231,6.54049170286208,0.2732399846943574,0.8844932780532669,0.043439319367768355,COMPLETE
78,0.4368830271677783,2026-06-12 14:20:07.408165,2026-06-12 14:20:09.549789,0 days 00:00:02.141624,0.6671601274621567,0.05188477711311406,7,43,208,3.0884405953135867,0.2006711966198364,0.9242608937109016,0.04371374889635278,COMPLETE
79,0.4367341946570427,2026-06-12 14:20:09.549839,2026-06-12 14:20:11.193343,0 days 00:00:01.643504,0.6917324826356903,0.0570914765116389,8,55,228,7.407682548554946,0.11139097750272364,0.8690512384194455,0.044447255264094786,COMPLETE
80,0.43673675633425246,2026-06-12 14:20:11.193390,2026-06-12 14:20:13.139880,0 days 00:00:01.946490,0.65223932769966,0.053911467285542296,7,37,251,1.732192003685918,0.23680189108985675,0.8500947672965232,0.04340256198152545,COMPLETE
81,0.4347932765181538,2026-06-12 14:20:13.139938,2026-06-12 14:20:14.857458,0 days 00:00:01.717520,0.6216187180972392,0.04544357489189295,9,48,208,7.5567745015448615,0.14243540873596394,0.9844456492068678,0.04248155425279568,COMPLETE
82,0.4363020999682953,2026-06-12 14:20:14.857505,2026-06-12 14:20:16.706454,0 days 00:00:01.848949,0.620763374877272,0.045718528849468004,8,49,189,3.5538918205262355,0.45312476651655825,0.9832127359967767,0.04319667123580812,COMPLETE
83,0.4369718242380099,2026-06-12 14:20:16.706509,2026-06-12 14:20:18.678063,0 days 00:00:01.971554,0.6698914386711826,0.06548984277735655,9,42,207,2.403203521298761,0.11832983404353763,0.9003746524123786,0.04254435812560092,COMPLETE
84,0.4359119460357853,2026-06-12 14:20:18.678126,2026-06-12 14:20:20.200846,0 days 00:00:01.522720,0.5745185123032784,0.041601263052159616,8,57,155,6.988761416897006,0.15077736595847702,0.9276739737279934,0.043265406509331646,COMPLETE
85,0.43557097584740545,2026-06-12 14:20:20.200910,2026-06-12 14:20:21.783338,0 days 00:00:01.582428,0.5656578604078804,0.04217083543569359,8,58,157,7.358790113972174,0.08488421443884946,0.920393502484497,0.043374297856616666,COMPLETE
86,0.4356843977761403,2026-06-12 14:20:21.783391,2026-06-12 14:20:23.558300,0 days 00:00:01.774909,0.6099836977540135,0.04993275074235452,9,46,137,7.647179642670847,0.40167178516993424,0.9144530064841955,0.044260781833203804,COMPLETE
87,0.4361623971736314,2026-06-12 14:20:23.558375,2026-06-12 14:20:25.244152,0 days 00:00:01.685777,0.5327236432607896,0.061078181803930084,9,47,136,4.30452719314399,0.4404989439393061,0.9061617219470215,0.04316397871810299,COMPLETE
88,0.4357557781899978,2026-06-12 14:20:25.244203,2026-06-12 14:20:26.683542,0 days 00:00:01.439339,0.5396535604178622,0.07757687920776266,9,67,185,7.881865088835376,0.0957925606307519,0.9684984247672367,0.04321203099878371,COMPLETE
89,0.43606674160813796,2026-06-12 14:20:26.683592,2026-06-12 14:20:28.043204,0 days 00:00:01.359612,0.5278032479106339,0.09135125040494738,9,72,136,5.458151169242799,0.06948759674808326,0.9706145521295676,0.043814951967092626,COMPLETE
90,0.43788645340546273,2026-06-12 14:20:28.043262,2026-06-12 14:20:29.489271,0 days 00:00:01.446009,0.4993190537431517,0.07823026221207867,9,66,143,4.049209201529416,0.1407489718143046,0.8903013453355163,0.04381721894086756,COMPLETE
91,0.43525305481317245,2026-06-12 14:20:29.489323,2026-06-12 14:20:31.438631,0 days 00:00:01.949308,0.6139348367198295,0.040005269351923035,9,52,185,7.316006329847279,0.08022559500534779,0.9547109898958472,0.04331101618530383,COMPLETE
92,0.4361957493840176,2026-06-12 14:20:31.438688,2026-06-12 14:20:32.879585,0 days 00:00:01.440897,0.5865126579052651,0.034375102216377525,9,62,157,7.796916519449498,0.08696436810326642,0.9192385023410881,0.042945107278043695,COMPLETE
93,0.43663361826003666,2026-06-12 14:20:32.879632,2026-06-12 14:20:34.426145,0 days 00:00:01.546513,0.5517674219783815,0.05013753717032583,8,53,183,6.124870619549817,0.09858007433780225,0.9877910135576167,0.04349159168027362,COMPLETE
94,0.43726941581640766,2026-06-12 14:20:34.426194,2026-06-12 14:20:35.862773,0 days 00:00:01.436579,0.46135870304545173,0.04264260631084293,9,58,211,7.78591474476949,0.2738822821299703,0.9510586561313089,0.04310186611340304,COMPLETE
95,0.4356674740867231,2026-06-12 14:20:35.862820,2026-06-12 14:20:37.391792,0 days 00:00:01.528972,0.6112724074435335,0.040466903818776344,7,50,119,5.869817773956081,0.14020928440302569,0.935712194589842,0.04267571019421562,COMPLETE
96,0.43594515432299524,2026-06-12 14:20:37.391849,2026-06-12 14:20:38.868977,0 days 00:00:01.477128,0.6131501876797134,0.03985182017628603,6,50,128,4.625187592019265,0.14609868990938912,0.9143572448683037,0.043953854038621634,COMPLETE
97,0.43729205980950725,2026-06-12 14:20:38.869030,2026-06-12 14:20:40.554705,0 days 00:00:01.685675,0.7802325439458285,0.04554774553848669,6,37,113,2.8657838839016816,0.060111269316624076,0.8765256167453839,0.04294229799098449,COMPLETE
98,0.4363894650967305,2026-06-12 14:20:40.554751,2026-06-12 14:20:42.149331,0 days 00:00:01.594580,0.637619513799805,0.039792484226160815,7,41,104,5.872563386787124,0.6834579185086208,0.9308530268566682,0.043288987174924506,COMPLETE
99,0.4365305198849766,2026-06-12 14:20:42.149389,2026-06-12 14:20:43.583022,0 days 00:00:01.433633,0.5964345958999429,0.04846430242990784,7,45,84,3.770250679998746,0.32844055682292406,0.8952526898280082,0.04349298115150074,COMPLETE
100,0.43632751395349506,2026-06-12 14:20:43.583073,2026-06-12 14:20:45.035258,0 days 00:00:01.452185,0.5857922622756504,0.02454115264412876,7,53,117,5.681196525144586,0.9372961676617204,0.9368451012507392,0.04252350449031169,COMPLETE
101,0.43655062270697575,2026-06-12 14:20:45.035307,2026-06-12 14:20:46.315139,0 days 00:00:01.279832,0.5555676683018125,0.02969582774289519,9,66,197,7.884967922477442,0.04615490337569426,0.9686529893095256,0.04248278414516109,COMPLETE
102,0.436821832475772,2026-06-12 14:20:46.315187,2026-06-12 14:20:47.622370,0 days 00:00:01.307183,0.6141900397931706,0.03421682828305072,8,81,182,8.22899181101593,0.09727876786749622,0.9538782497578384,0.04397140196988858,COMPLETE
103,0.4363860802778371,2026-06-12 14:20:47.622422,2026-06-12 14:20:49.436983,0 days 00:00:01.814561,0.6965046483736906,0.08028549051864542,9,60,237,3.386327659760298,0.16668103064633474,0.9822263736388811,0.04371309827312247,COMPLETE
