number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
52,0.4362512751139197,2026-06-12 14:28:39.322934,2026-06-12 14:28:47.268852,0 days 00:00:07.945918,0.9161677698434395,0.023125977532157043,8,31.08377210222781,2.7750826638220416,0.0054117733614572295,0.5508975359358279,0.04287327293030781,COMPLETE
53,0.4382158387943287,2026-06-12 14:28:47.268927,2026-06-12 14:29:00.772826,0 days 00:00:13.503899,0.9713632461343759,0.031028330611711334,10,12.394470706516131,1.6655471759899747,0.002033298130088473,0.5215000887362627,0.04232966339891902,COMPLETE
54,0.43734671534358743,2026-06-12 14:29:00.772902,2026-06-12 14:29:10.688619,0 days 00:00:09.915717,0.9387907179070507,0.037671244960255444,9,20.44653738722143,0.9641227399374165,0.01568803552576965,0.5830533408844788,0.04190008507222878,COMPLETE
55,0.4368376538583048,2026-06-12 14:29:10.688672,2026-06-12 14:29:18.601762,0 days 00:00:07.913090,0.8345214841789874,0.04254221402583527,8,25.01079876686427,2.8310902014843413,0.07395143987259499,0.5485345520282326,0.04354742821324625,COMPLETE
56,0.4384628910472067,2026-06-12 14:29:18.601828,2026-06-12 14:29:39.178600,0 days 00:00:20.576772,0.9046810479915038,0.019030196873410968,9,4.822822747112011,1.2815319640966716,0.03939089249716459,0.5052199149710715,0.04161211054442659,COMPLETE
57,0.4361498094211077,2026-06-12 14:29:39.178661,2026-06-12 14:29:46.131263,0 days 00:00:06.952602,0.9988360885770265,0.026148036258730863,7,30.518614114165366,0.6179797567841737,0.13281881939474707,0.5625751694979999,0.04328645704160754,COMPLETE
58,0.43708895812472426,2026-06-12 14:29:46.131324,2026-06-12 14:29:52.314307,0 days 00:00:06.182983,0.8704049007190563,0.08313262450359224,8,44.184266865815076,1.8750042989499585,0.20436600426863707,0.6080778826734246,0.04339128215505157,COMPLETE
59,0.4365207471724605,2026-06-12 14:29:52.314362,2026-06-12 14:29:58.155585,0 days 00:00:05.841223,0.7754816347386531,0.032710996723617755,6,49.880658859485166,7.444198474017348,0.023297105444650638,0.6290776768203472,0.04340003828163905,COMPLETE
60,0.43635992713842936,2026-06-12 14:29:58.155641,2026-06-12 14:30:14.704776,0 days 00:00:16.549135,0.9771301821957727,0.00549130016939126,9,27.708028340292152,0.9244814771682438,3.8402598920130386,0.897002232506768,0.04191770774929135,COMPLETE
61,0.43574440463921393,2026-06-12 14:30:14.704829,2026-06-12 14:30:21.946126,0 days 00:00:07.241297,0.8758688988731889,0.03606291886337545,9,34.18744921173428,0.41866003122380824,0.047459640615421954,0.5776900481441739,0.04163167194898466,COMPLETE
62,0.4369158896281601,2026-06-12 14:30:21.946189,2026-06-12 14:30:29.224160,0 days 00:00:07.277971,0.9312463614217854,0.0527711295274623,10,39.58447664043869,0.386991557614908,0.04645847528048494,0.5785370955378966,0.04285791991589577,COMPLETE
